time,bus_voltage,array_charge_limit,array_discharge_limit,pack1_soc,pack1_voltage,pack1_cell_v,pack1_temp,pack1_current,pack1_charge_limit,pack1_discharge_limit,pack1_mode,pack2_soc,pack2_voltage,pack2_cell_v,pack2_temp,pack2_current,pack2_charge_limit,pack2_discharge_limit,pack2_mode,pack3_soc,pack3_voltage,pack3_cell_v,pack3_temp,pack3_current,pack3_charge_limit,pack3_discharge_limit,pack3_mode
0.0,1143.4499999999998,0.0,0.0,45.0,1127.896,3.662,40.0,0.0,320.0,499.2,CONNECTING,55.00000000000001,1136.52,3.69,40.0,0.0,320.0,499.2,READY,65.0,1150.3799999999999,3.735,40.0,0.0,320.0,499.2,READY
1.0,1143.4499999999998,0.0,0.0,45.0,1127.896,3.662,40.0,0.0,320.0,499.2,CONNECTING,55.00000000000001,1136.52,3.69,40.0,0.0,320.0,499.2,READY,65.0,1150.3799999999999,3.735,40.0,0.0,320.0,499.2,READY
2.0,1143.4499999999998,0.0,0.0,45.0,1127.896,3.662,40.0,0.0,320.0,499.2,CONNECTING,55.00000000000001,1136.52,3.69,40.0,0.0,320.0,499.2,READY,65.0,1150.3799999999999,3.735,40.0,0.0,320.0,499.2,READY
3.0,1143.4499999999998,0.0,0.0,45.0,1127.896,3.662,40.0,0.0,320.0,499.2,CONNECTING,55.00000000000001,1136.52,3.69,40.0,0.0,320.0,499.2,READY,65.0,1150.3799999999999,3.735,40.0,0.0,320.0,499.2,READY
4.0,1127.896,320.0,499.2,45.0,1127.896,3.662,40.0,0.0,320.0,499.2,CONNECTED,55.00000000000001,1136.52,3.69,40.0,0.0,320.0,499.2,READY,65.0,1150.3799999999999,3.735,40.0,0.0,320.0,499.2,READY
5.0,1127.896,320.0,499.2,45.0,1127.896,3.662,40.0,0.0,320.0,499.2,CONNECTED,55.00000000000001,1136.52,3.69,40.0,0.0,320.0,499.2,CONNECTING,65.0,1150.3799999999999,3.735,40.0,0.0,320.0,499.2,CONNECTING
6.0,1127.896,320.0,499.2,45.0,1127.896,3.662,40.0,0.0,320.0,499.2,CONNECTED,55.00000000000001,1136.52,3.69,40.0,0.0,320.0,499.2,CONNECTING,65.0,1150.3799999999999,3.735,40.0,0.0,320.0,499.2,CONNECTING
7.0,1127.896,320.0,499.2,45.0,1127.896,3.662,40.0,0.0,320.0,499.2,CONNECTED,55.00000000000001,1136.52,3.69,40.0,0.0,320.0,499.2,CONNECTING,65.0,1150.3799999999999,3.735,40.0,0.0,320.0,499.2,CONNECTING
8.0,1127.896,320.0,499.2,45.0,1127.896,3.662,40.0,0.0,320.0,499.2,CONNECTED,55.00000000000001,1136.52,3.69,40.0,0.0,320.0,499.2,CONNECTING,65.0,1150.3799999999999,3.735,40.0,0.0,320.0,499.2,CONNECTING
9.0,1138.2101697474113,960.0,1497.6,45.036700571490215,1138.2380169612306,3.695577977146853,39.996222308347065,169.45514371431602,320.0,499.2,CONNECTED,55.006087417890505,1138.2177046535985,3.6955120280960987,39.999182282871054,28.1070357108317,320.0,499.2,CONNECTED,64.9571262631456,1138.146073823506,3.6952794604659287,40.00790695381986,-197.56217942513885,320.0,499.2,CONNECTED
